,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,химшлак последний Al2O3,химшлак первый Al2O3_1,136 RE,54E1,60E1,UIC54,НЕТ,ОР50,ОР65,Р50,Р65,Рельсы трамвайные,Шар заг d шара 100 мм 2 гр.,"Шар заг d шара 80-100 мм 2,3 гр.",Шар заг d шара 80-100 мм 4 гр.,Шары мелющие d 80-100 мм,Швеллер 40У,900А,G2HH,R260,R350HT,НХ,С255,Ш2.2,Ш2Л,Э73Ф,Э76,Э76Ф,Э76ХАФ,Э76ХФ,Э90ХАФ,сыпуч известь РП,химшлак первый SiO2_1
3288,20.0,41.0666667,16.3833333,41.0666667,0.444945,0.160461,0.1881025,0.157065,1584.0,1573.0,7.0056818,13290.335707,118.3,1.0,9.59,0.05,0.469,0.02,0.155,0.3,0.28300000000000003,3629.0,0.002,0.44,0.29100000000000004,0.094,0.625,0.006,0.012,0.064,0.006999999999999999,0.019,0.439,0.002,0.002,0.004,0.746,0.0002,0.415,0.092,0.787,0.005,0.013999999999999999,0.063,0.008,0.013999999999999999,0.5770000000000001,0.004,0.036000000000000004,56.6,0.3,13.7,0.09,2.2,57.9,0.3,9.1,0.06,2.2,25.8,5.8,4.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.079,25.6
3289,14.0,42.2,17.0666667,42.2,0.413945,0.130977,0.1170715,0.116541,1576.0,1575.0,9.1379147,12642.1875,112.5,1.0,12.854000000000001,0.05,0.439,0.02,0.125,0.18600000000000003,0.231,3596.0,0.002,0.45399999999999996,0.31,0.09300000000000001,0.6809999999999999,0.006999999999999999,0.013000000000000001,0.066,0.008,0.018000000000000002,0.46799999999999997,0.002,0.002,0.003,0.763,0.0002,0.41700000000000004,0.092,0.785,0.006,0.013999999999999999,0.066,0.009000000000000001,0.013999999999999999,0.573,0.003,0.035,56.0,0.2,14.6,0.12,2.2,56.6,0.3,12.5,0.07,2.2,25.9,4.7,4.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,25.9
3290,17.0,41.033333299999995,19.2,41.033333299999995,0.42571499999999995,0.155925,0.1898655,0.12729100000000002,1566.0,1576.0,8.5649878,13562.5,116.8,1.0,11.715,0.05,0.446,0.02,0.109,0.304,0.275,4340.0,0.002,0.43700000000000006,0.292,0.086,0.623,0.005,0.013000000000000001,0.06,0.008,0.017,0.456,0.002,0.003,0.003,0.7659999999999999,0.0001,0.418,0.087,0.7929999999999999,0.004,0.015,0.061,0.009000000000000001,0.015,0.5760000000000001,0.004,0.037000000000000005,57.5,0.3,11.4,0.13,2.3,53.2,0.5,4.4,0.07,2.8,19.0,6.1,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.079,25.3
3291,19.0,42.5166667,16.0166667,42.5166667,0.38919000000000004,0.134946,0.1092715,0.098457,1577.0,1577.0,10.880438999999999,12837.8772112,115.5,1.0,15.42,0.05,0.408,0.02,0.10099999999999999,0.174,0.23800000000000002,3427.0,0.002,0.46799999999999997,0.31,0.09300000000000001,0.6890000000000001,0.006,0.013000000000000001,0.063,0.011000000000000001,0.017,0.47200000000000003,0.002,0.003,0.003,0.7759999999999999,0.0002,0.418,0.09300000000000001,0.785,0.005,0.013000000000000001,0.063,0.012,0.013999999999999999,0.5720000000000001,0.004,0.038,57.0,0.7,11.8,0.09,2.6,59.0,0.6,6.4,0.06,2.6,22.4,6.6,6.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,22.2
3292,20.0,42.5166667,17.3333333,42.5166667,0.36493000000000003,0.125874,0.053021000000000006,0.11164,1581.0,1583.0,9.7204234,12188.076923100001,116.2,1.0,13.776,0.05,0.382,0.02,0.146,0.08199999999999999,0.222,3521.0,0.002,0.499,0.318,0.091,0.741,0.005,0.011000000000000001,0.057,0.013999999999999999,0.015,0.47,0.002,0.003,0.004,0.769,0.0005,0.419,0.09,0.792,0.005,0.013999999999999999,0.057,0.013999999999999999,0.012,0.5720000000000001,0.004,0.038,58.8,0.7,13.8,0.13,2.7,59.9,0.7,7.4,0.06,2.7,21.9,5.0,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,21.9
3295,5.0,50.716666700000005,22.5,50.716666700000005,0.42923,0.11799809230239361,0.09300499999999999,0.033780000000000004,1602.0,1593.0,7.8991098,12568.0,115.9,1.0,13.31,0.05,0.483,0.02,0.01,0.15,0.20858067856035825,4713.0,0.002,0.41,0.12,0.102,0.752,0.005,0.012,0.06,0.017,0.02,0.252,0.001,0.003,0.003,0.73,0.0002,0.121,0.10099999999999999,0.8370000000000001,0.004,0.012,0.059000000000000004,0.019,0.015,0.293,0.003,0.037000000000000005,49.6,0.6,5.9,0.11,2.9,61.3,0.4,5.5,0.08,2.8,21.8,6.2,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07400000000000001,16.9
3296,14.0,51.216666700000005,20.35,51.216666700000005,0.41566000000000003,0.11799809230239361,0.149303,0.048925,1586.0,1601.0,6.4830459000000005,13085.012284999999,115.9,1.0,11.068,0.05,0.46399999999999997,0.02,0.008,0.24100000000000002,0.20858067856035825,4438.0,0.002,0.413,0.091,0.084,0.705,0.006,0.012,0.057999999999999996,0.009000000000000001,0.016,0.248,0.002,0.002,0.003,0.7290000000000001,0.0002,0.094,0.084,0.835,0.006,0.013999999999999999,0.057,0.011000000000000001,0.012,0.298,0.002,0.037000000000000005,60.0,0.6,7.7,0.11,2.7,60.5,0.6,5.1,0.08,2.7,22.2,6.0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,21.9
3297,23.0,46.533333299999995,20.3666667,46.533333299999995,0.43675,0.11799809230239361,0.17687750000000002,0.066376,1571.0,1587.0,7.479799400000001,13849.0998363,115.5,1.0,11.602,0.05,0.489,0.02,0.023,0.28300000000000003,0.20858067856035825,4701.0,0.002,0.40700000000000003,0.085,0.096,0.682,0.008,0.013000000000000001,0.062,0.009000000000000001,0.017,0.24,0.001,0.002,0.002,0.73,0.0003,0.086,0.094,0.8270000000000001,0.006999999999999999,0.015,0.061,0.01,0.012,0.28600000000000003,0.002,0.036000000000000004,58.0,0.6,11.6,0.14,2.3,56.8,0.3,8.5,0.07,2.2,25.7,5.4,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14400000000000002,25.7
3298,30.0,45.0166667,21.35,45.0166667,0.47908999999999996,0.11799809230239361,0.2891905,0.10528499999999999,1563.0,1592.0,7.2446500999999985,13762.060889899998,117.9,1.0,10.870999999999999,0.05,0.537,0.02,0.035,0.456,0.20858067856035825,4897.0,0.002,0.38,0.05,0.095,0.5870000000000001,0.006,0.013000000000000001,0.06,0.006999999999999999,0.019,0.20600000000000002,0.001,0.002,0.002,0.728,0.0001,0.054000000000000006,0.096,0.831,0.005,0.015,0.06,0.008,0.015,0.292,0.002,0.036000000000000004,55.7,0.3,13.4,0.26,2.2,59.3,0.5,6.4,0.14,2.3,26.1,5.1,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.079,25.8
3299,25.0,51.55,19.35,51.55,0.40348,0.11799809230239361,0.177643,0.067638,1588.0,1590.0,7.487882300000001,12561.240310100002,112.2,1.0,12.719,0.05,0.44799999999999995,0.02,0.026000000000000002,0.28,0.20858067856035825,4051.0,0.002,0.429,0.09,0.11699999999999999,0.6809999999999999,0.006,0.012,0.063,0.011000000000000001,0.021,0.23800000000000002,0.001,0.002,0.002,0.723,0.0001,0.091,0.11599999999999999,0.8340000000000001,0.005,0.013999999999999999,0.062,0.012,0.016,0.28600000000000003,0.002,0.037000000000000005,56.7,0.2,14.0,0.16,2.2,56.4,0.5,12.2,0.14,2.3,25.1,4.7,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.053000000000000005,25.6
3303,41.0,45.5166667,20.5166667,45.5166667,0.46608,0.112266,0.116407,0.16482,1594.0,1629.0,8.7941719,14180.666125100002,111.2,1.0,13.245,0.05,0.507,0.02,0.2,0.179,0.198,4849.0,0.002,0.39799999999999996,0.321,0.109,0.684,0.017,0.013000000000000001,0.067,0.01,0.019,0.431,0.001,0.003,0.004,0.758,0.0003,0.418,0.113,0.8,0.018000000000000002,0.01,0.07200000000000001,0.011000000000000001,0.012,0.5770000000000001,0.004,0.038,49.2,0.4,19.4,0.47,2.0,46.5,0.5,10.4,0.06,2.1,22.0,4.7,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.121,25.0
3304,40.0,57.8833333,27.85,57.8833333,0.39926500000000004,0.079947,0.077174,0.12732000000000002,1568.0,1593.0,10.196534800000002,12693.7163375,119.7,1.0,19.617,0.05,0.43200000000000005,0.02,0.16,0.11800000000000001,0.141,5892.0,0.002,0.48200000000000004,0.35100000000000003,0.115,0.718,0.009000000000000001,0.006999999999999999,0.08,0.012,0.019,0.456,0.002,0.003,0.004,0.778,0.0008,0.418,0.114,0.79,0.008,0.011000000000000001,0.075,0.013000000000000001,0.016,0.568,0.003,0.036000000000000004,55.8,0.5,12.5,0.12,2.6,60.5,0.9,6.6,0.1,2.7,22.4,7.2,6.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.065,21.6
3305,53.0,44.35,25.7,44.35,0.42353999999999997,0.08278200000000001,0.036055000000000004,0.06294,1501.0,1594.0,9.7165049,13400.778210100001,111.7,1.0,14.177999999999999,0.05,0.46299999999999997,0.02,0.08,0.055,0.146,5740.0,0.002,0.445,0.34700000000000003,0.10300000000000001,0.752,0.006,0.012,0.066,0.011000000000000001,0.02,0.511,0.003,0.002,0.003,0.7490000000000001,0.0002,0.41700000000000004,0.10300000000000001,0.782,0.005,0.012,0.065,0.012,0.016,0.5710000000000001,0.004,0.036000000000000004,57.3,0.3,13.6,0.12,2.3,60.3,1.0,6.2,0.11,2.7,22.4,6.9,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.054000000000000006,25.4
3306,36.0,50.55,23.6333333,50.55,0.46802,0.100926,0.07652300000000001,0.099474,1559.0,1590.0,8.5851632,13300.7052186,114.1,1.0,14.466,0.05,0.513,0.02,0.11800000000000001,0.11800000000000001,0.17800000000000002,5239.0,0.002,0.41200000000000003,0.336,0.105,0.7190000000000001,0.008,0.01,0.086,0.01,0.02,0.479,0.002,0.002,0.004,0.765,0.0004,0.419,0.10400000000000001,0.787,0.006999999999999999,0.012,0.085,0.011000000000000001,0.015,0.565,0.004,0.036000000000000004,47.1,1.0,13.8,0.3,2.4,55.4,1.0,10.3,0.08,2.2,25.4,5.3,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.064,19.6
3307,49.0,41.533333299999995,18.05,41.533333299999995,0.488345,0.100359,0.081308,0.08897999999999999,1575.0,1587.0,6.635880800000001,13070.3601108,115.5,1.0,9.093,0.05,0.5379999999999999,0.02,0.1,0.126,0.177,3932.0,0.002,0.391,0.335,0.11,0.7140000000000001,0.006,0.01,0.069,0.011000000000000001,0.019,0.474,0.002,0.002,0.003,0.7709999999999999,0.0001,0.41600000000000004,0.11,0.7879999999999999,0.006,0.012,0.069,0.011000000000000001,0.015,0.5660000000000001,0.004,0.035,46.0,0.8,9.0,0.14,2.4,57.0,0.7,8.1,0.07,2.2,25.8,5.8,6.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,19.1
3309,42.0,44.533333299999995,13.55,44.533333299999995,0.44568,0.112266,0.0859145,0.151539,1591.0,1580.0,10.9731029,12925.4612546,117.3,1.0,16.227999999999998,0.05,0.483,0.02,0.193,0.131,0.198,2919.0,0.002,0.42200000000000004,0.32799999999999996,0.09699999999999999,0.71,0.006,0.011000000000000001,0.067,0.013000000000000001,0.019,0.447,0.001,0.002,0.003,0.767,0.0002,0.42100000000000004,0.099,0.8,0.005,0.013000000000000001,0.068,0.015,0.016,0.58,0.003,0.037000000000000005,53.3,0.7,14.1,0.55,2.3,46.5,0.5,9.9,0.11,2.1,22.0,5.8,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.042,23.5
3310,46.0,46.5166667,20.0,46.5166667,0.501325,0.12984300000000001,0.147357,0.11698199999999999,1549.0,1581.0,9.0628963,13932.0,112.1,1.0,13.977,0.05,0.546,0.02,0.114,0.23,0.22899999999999998,4644.0,0.002,0.39299999999999996,0.31,0.11,0.654,0.005,0.011000000000000001,0.067,0.008,0.021,0.45299999999999996,0.001,0.002,0.003,0.78,0.0003,0.41600000000000004,0.10800000000000001,0.78,0.005,0.013999999999999999,0.066,0.009000000000000001,0.015,0.557,0.003,0.035,49.9,0.4,11.6,0.08,2.0,54.6,0.9,11.5,0.11,2.4,22.4,5.8,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.107,24.4
3311,47.0,47.7,23.4,47.7,0.5193800000000001,0.1134,0.1306845,0.130023,1539.0,1579.0,6.922537200000001,13612.820512799999,112.8,1.0,10.853,0.05,0.5720000000000001,0.02,0.141,0.203,0.2,5309.0,0.002,0.37799999999999995,0.324,0.115,0.66,0.006,0.01,0.069,0.008,0.02,0.447,0.001,0.002,0.003,0.7709999999999999,0.0003,0.419,0.114,0.78,0.005,0.012,0.069,0.009000000000000001,0.015,0.581,0.004,0.036000000000000004,49.0,0.3,17.2,0.46,2.0,55.8,0.2,13.6,0.05,2.2,25.9,5.4,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.087,24.7
3312,54.0,45.2,21.2333333,45.2,0.522325,0.125307,0.11629600000000001,0.133176,1543.0,1584.0,6.871436599999999,13761.3814757,116.0,1.0,10.164,0.05,0.574,0.02,0.152,0.18,0.221,4870.0,0.002,0.375,0.317,0.113,0.687,0.006,0.009000000000000001,0.069,0.01,0.021,0.44,0.002,0.003,0.003,0.785,0.0002,0.418,0.111,0.784,0.005,0.012,0.068,0.01,0.016,0.562,0.004,0.035,52.4,1.0,13.0,0.16,2.1,56.5,0.4,11.9,0.15,2.2,25.5,4.3,5.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08800000000000001,24.7
3313,37.0,41.8833333,16.6666667,41.8833333,0.45356499999999994,0.120771,0.114596,0.11425199999999999,1599.0,1586.0,9.7442101,12538.8,111.5,1.0,13.604000000000001,0.05,0.49,0.02,0.124,0.17800000000000002,0.213,3483.0,0.002,0.426,0.317,0.109,0.6859999999999999,0.006,0.011000000000000001,0.073,0.01,0.018000000000000002,0.45399999999999996,0.002,0.003,0.003,0.784,0.0002,0.418,0.109,0.7829999999999999,0.005,0.013000000000000001,0.073,0.01,0.013000000000000001,0.5589999999999999,0.003,0.036000000000000004,53.3,0.6,15.3,0.12,2.2,46.4,0.5,7.7,0.08,2.2,21.4,4.6,4.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,24.8
3314,30.0,43.033333299999995,18.85,43.033333299999995,0.550945,0.119637,0.15224000000000001,0.164472,1574.0,1590.0,9.5465531,11961.803713500001,122.8,1.0,13.694,0.05,0.609,0.02,0.184,0.23600000000000002,0.21100000000000002,3758.0,0.002,0.363,0.326,0.099,0.653,0.008,0.009000000000000001,0.07400000000000001,0.011000000000000001,0.021,0.42700000000000005,0.001,0.002,0.003,0.736,0.0002,0.414,0.098,0.774,0.006999999999999999,0.012,0.073,0.011000000000000001,0.017,0.562,0.003,0.035,50.7,0.4,14.3,0.36,2.1,55.5,0.2,12.4,0.06,2.2,25.9,5.1,4.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,24.7
3315,23.0,47.216666700000005,25.6,47.216666700000005,0.43517790000000006,0.094689,0.0802875,0.072225,1558.0,1585.0,7.5985122,13021.875,112.4,1.0,11.917,0.05,0.45,0.02,0.075,0.125,0.16699999999999998,5556.0,0.002,0.435,0.335,0.102,0.706,0.008,0.011000000000000001,0.065,0.009000000000000001,0.019,0.495,0.002,0.002,0.003,0.765,0.0001,0.413,0.1,0.777,0.006999999999999999,0.013000000000000001,0.064,0.01,0.015,0.56,0.003,0.037000000000000005,55.8,0.3,14.5,0.16,2.1,59.4,0.2,9.4,0.07,2.3,25.9,4.9,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,26.2
3316,26.0,49.3833333,18.05,49.3833333,0.47788859999999994,0.124173,0.128628,0.09585,1584.0,1576.0,4.9901871,11840.4432133,113.5,1.0,7.854,0.05,0.507,0.02,0.09,0.201,0.21899999999999997,3562.0,0.002,0.408,0.316,0.10400000000000001,0.677,0.006999999999999999,0.01,0.066,0.009000000000000001,0.017,0.475,0.002,0.002,0.003,0.785,0.0002,0.415,0.105,0.784,0.006,0.013000000000000001,0.066,0.01,0.015,0.568,0.004,0.036000000000000004,57.8,0.5,12.5,0.13,2.3,59.8,0.4,7.7,0.09,2.3,26.6,4.4,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,24.8
3317,29.0,46.2,20.5,46.2,0.43011499999999997,0.125307,0.093968,0.09258,1536.0,1581.0,9.5815685,12924.8780488,117.8,1.0,14.729000000000001,0.05,0.461,0.02,0.1,0.146,0.221,4416.0,0.002,0.426,0.316,0.10400000000000001,0.706,0.006,0.01,0.07,0.01,0.016,0.473,0.003,0.003,0.003,0.7759999999999999,0.0002,0.415,0.102,0.7829999999999999,0.005,0.013000000000000001,0.069,0.01,0.015,0.568,0.004,0.036000000000000004,59.0,0.4,9.0,0.1,2.6,60.5,0.5,5.4,0.07,2.7,22.7,7.1,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,22.6
3318,39.0,43.35,21.4833333,41.033333299999995,0.41735500000000003,0.119637,0.10113,0.076176,1574.0,1569.0,10.0617128,12366.795965899999,112.1,1.0,13.315,0.05,0.446,0.02,0.07200000000000001,0.158,0.21100000000000002,4428.0,0.002,0.444,0.314,0.098,0.6890000000000001,0.006999999999999999,0.011000000000000001,0.07,0.009000000000000001,0.017,0.478,0.002,0.002,0.003,0.778,0.0005,0.414,0.099,0.7829999999999999,0.006,0.013000000000000001,0.07,0.01,0.015,0.56,0.004,0.037000000000000005,55.7,0.4,9.9,0.15,2.6,52.3,0.5,5.0,0.08,2.4,21.5,5.1,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,21.7
3319,37.0,41.5166667,19.45,41.5166667,0.439475,0.143451,0.150615,0.12186,1568.0,1571.0,10.813033,11774.8071979,116.6,1.0,14.934000000000001,0.05,0.467,0.02,0.12,0.235,0.253,3817.0,0.002,0.44,0.3,0.113,0.652,0.006,0.01,0.068,0.008,0.017,0.452,0.002,0.002,0.003,0.763,0.0002,0.414,0.11,0.777,0.005,0.013000000000000001,0.068,0.009000000000000001,0.015,0.5589999999999999,0.004,0.037000000000000005,43.7,0.5,11.0,0.23,2.2,51.6,0.3,14.9,0.1,2.2,23.8,6.5,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,20.2
3320,38.0,40.8666667,21.0,40.8666667,0.419145,0.13211099999999998,0.1505375,0.11854500000000001,1560.0,1571.0,6.197226799999999,11942.857142899999,115.9,1.0,8.442,0.05,0.444,0.02,0.115,0.235,0.233,4180.0,0.002,0.43700000000000006,0.308,0.10400000000000001,0.653,0.006,0.011000000000000001,0.068,0.009000000000000001,0.019,0.455,0.002,0.003,0.003,0.773,0.0002,0.415,0.102,0.7829999999999999,0.005,0.013999999999999999,0.068,0.01,0.016,0.5670000000000001,0.003,0.037000000000000005,50.0,0.5,10.6,0.2,2.4,56.8,0.3,10.2,0.07,2.3,25.1,4.9,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,21.3
3321,41.0,41.15,16.3666667,41.15,0.459875,0.118503,0.1451325,0.102519,1572.0,1575.0,6.7961118,11723.8289206,113.7,1.0,9.322000000000001,0.05,0.49700000000000005,0.02,0.09300000000000001,0.22699999999999998,0.209,3198.0,0.002,0.395,0.321,0.091,0.655,0.005,0.011000000000000001,0.057,0.008,0.017,0.466,0.002,0.002,0.004,0.778,0.0003,0.41700000000000004,0.09,0.7809999999999999,0.004,0.012,0.057,0.009000000000000001,0.015,0.565,0.004,0.036000000000000004,46.1,1.6,9.5,0.17,2.4,49.9,0.3,10.3,0.06,2.3,21.7,5.2,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,19.6
3322,40.0,43.283333299999995,20.9166667,43.283333299999995,0.39865,0.151956,0.1505195,0.090879,1556.0,1569.0,6.785310099999999,12916.9721116,114.4,1.0,9.392000000000001,0.05,0.415,0.02,0.073,0.23600000000000002,0.268,4503.0,0.002,0.474,0.28800000000000003,0.087,0.643,0.008,0.013000000000000001,0.061,0.008,0.016,0.475,0.002,0.002,0.003,0.77,0.0001,0.413,0.085,0.77,0.006999999999999999,0.013999999999999999,0.061,0.008,0.015,0.5539999999999999,0.004,0.036000000000000004,57.9,0.3,10.0,0.13,2.6,54.4,0.7,5.4,0.08,2.4,22.7,6.0,5.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,22.3
3323,43.0,42.216666700000005,22.966666699999998,42.0833333,0.490675,0.098091,0.0883615,0.067935,1565.0,1613.0,10.679799699999998,13940.203193000001,110.5,1.0,7.108,0.05,0.541,0.02,0.065,0.138,0.17300000000000001,5336.0,0.002,0.46399999999999997,0.203,0.085,0.7170000000000001,0.005,0.009000000000000001,0.053,0.009000000000000001,0.017,0.473,0.002,0.003,0.003,0.856,0.0002,0.29,0.086,0.795,0.004,0.017,0.053,0.01,0.015,0.547,0.004,0.081,56.9,0.5,10.7,0.15,2.5,59.3,0.9,6.6,0.11,2.4,24.4,5.3,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,23.1
3324,24.0,48.3833333,16.0,48.05,0.56118,0.075978,0.2149535,0.184281,1626.0,1589.0,12.7656513,12258.75,116.4,1.0,10.943,0.129,0.5589999999999999,0.02,0.187,0.335,0.134,3269.0,0.002,0.426,0.228,0.09699999999999999,0.601,0.006999999999999999,0.011000000000000001,0.07200000000000001,0.009000000000000001,0.019,0.37799999999999995,0.001,0.002,0.003,0.8740000000000001,0.0002,0.29100000000000004,0.095,0.785,0.005,0.021,0.07,0.01,0.013000000000000001,0.539,0.003,0.084,48.6,1.3,12.8,0.51,1.9,55.6,0.3,12.8,0.06,2.2,26.0,5.4,3.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39,25.7
3325,29.0,44.533333299999995,18.4833333,44.3666667,0.50227,0.09185399999999999,0.2032445,0.113775,1584.0,1585.0,11.5271028,11741.3886384,112.6,1.0,6.167000000000001,0.05,0.552,0.02,0.085,0.319,0.162,3617.0,0.002,0.446,0.207,0.081,0.615,0.01,0.012,0.07200000000000001,0.008,0.021,0.455,0.002,0.002,0.003,0.851,0.0005,0.287,0.087,0.804,0.011000000000000001,0.013999999999999999,0.078,0.01,0.017,0.519,0.003,0.08,50.9,0.4,16.2,0.29,2.1,55.5,0.2,13.0,0.06,2.2,26.0,5.1,3.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,24.5
3326,26.0,45.533333299999995,17.85,45.1833333,0.44148999999999994,0.10886400000000002,0.17255050000000002,0.091875,1591.0,1587.0,9.9369775,12867.226890799999,112.8,1.0,7.726,0.05,0.475,0.02,0.065,0.271,0.192,3828.0,0.002,0.465,0.192,0.08900000000000001,0.649,0.006,0.01,0.068,0.008,0.019,0.45899999999999996,0.001,0.003,0.003,0.853,0.0005,0.294,0.08800000000000001,0.7979999999999999,0.004,0.016,0.063,0.009000000000000001,0.013999999999999999,0.5529999999999999,0.003,0.081,52.2,0.7,15.7,0.09,2.4,54.7,0.4,12.9,0.1,2.1,26.2,4.0,3.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.065,21.4
3327,31.0,48.35,18.8666667,47.85,0.4655745,0.092421,0.1535165,0.111489,1573.0,1583.0,15.382894699999998,13296.4664311,115.9,1.0,6.495,0.05,0.47100000000000003,0.02,0.10300000000000001,0.24,0.163,4181.0,0.002,0.47100000000000003,0.20800000000000002,0.09699999999999999,0.6709999999999999,0.009000000000000001,0.011000000000000001,0.076,0.009000000000000001,0.017,0.451,0.002,0.003,0.004,0.8290000000000001,0.00031967288191034744,0.285,0.096,0.782,0.006999999999999999,0.015,0.076,0.01,0.013999999999999999,0.522,0.003,0.083,42.2,1.4,7.2,0.24,2.9,50.1,0.3,8.6,0.08,2.5,19.8,5.2,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.087,14.5
